
=== Testing on: shell | Scale: 2 x 2 ===
Algoritm: Nearest | Time: 7 ms | PSNR: inf | SSIM: 1.000000 | RMSE: 0.000000
Algoritm: Nearest | Time: 3 ms | PSNR: 26.894686 | SSIM: 0.895929 | RMSE: 11.529378
Algoritm: Bilinear | Time: 10 ms | PSNR: 26.894686 | SSIM: 0.895929 | RMSE: 11.529378
Algoritm: Bicubic (a=-0.5) | Time: 83 ms | PSNR: 26.894686 | SSIM: 0.895929 | RMSE: 11.529378
Algoritm: Bicubic (a=-0.7) | Time: 82 ms | PSNR: 26.894686 | SSIM: 0.895929 | RMSE: 11.529378
Algoritm: Bicubic (a=-1.0) | Time: 78 ms | PSNR: 26.894686 | SSIM: 0.895929 | RMSE: 11.529378
Algoritm: Lanczos (a=2) | Time: 173 ms | PSNR: 26.894686 | SSIM: 0.895929 | RMSE: 11.529378
Algoritm: Lanczos (a=3) | Time: 352 ms | PSNR: 26.894686 | SSIM: 0.895929 | RMSE: 11.529378
Algoritm: Lanczos (a=4) | Time: 657 ms | PSNR: 26.894686 | SSIM: 0.895929 | RMSE: 11.529378
Algoritm: OpenCV Nearest | Time: 0 ms | PSNR: 26.894686 | SSIM: 0.895929 | RMSE: 11.529378
Algoritm: OpenCV Bilinear | Time: 0 ms | PSNR: 28.573483 | SSIM: 0.920228 | RMSE: 9.503116
Algoritm: OpenCV Bicubic | Time: 0 ms | PSNR: 29.305270 | SSIM: 0.932978 | RMSE: 8.735277
Algoritm: OpenCV Lanczos | Time: 3 ms | PSNR: 29.015018 | SSIM: 0.928871 | RMSE: 9.032111

=== Testing on: balloons | Scale: 1.5 x 0.75 ===
Algoritm: Nearest | Time: 11 ms | PSNR: 29.901841 | SSIM: 0.952509 | RMSE: 8.155454
Algoritm: Bilinear | Time: 41 ms | PSNR: 32.850273 | SSIM: 0.972451 | RMSE: 5.807999
Algoritm: Bicubic (a=-0.5) | Time: 373 ms | PSNR: 33.883722 | SSIM: 0.978444 | RMSE: 5.156489
Algoritm: Bicubic (a=-0.7) | Time: 367 ms | PSNR: 34.098265 | SSIM: 0.979647 | RMSE: 5.030683
Algoritm: Bicubic (a=-1.0) | Time: 380 ms | PSNR: 34.198925 | SSIM: 0.980383 | RMSE: 4.972719
Algoritm: Lanczos (a=2) | Time: 823 ms | PSNR: 33.862007 | SSIM: 0.978378 | RMSE: 5.169396
Algoritm: Lanczos (a=3) | Time: 1849 ms | PSNR: 34.210615 | SSIM: 0.980203 | RMSE: 4.966031
Algoritm: Lanczos (a=4) | Time: 3777 ms | PSNR: 34.168858 | SSIM: 0.980066 | RMSE: 4.989963
Algoritm: OpenCV Nearest | Time: 0 ms | PSNR: 29.901841 | SSIM: 0.952509 | RMSE: 8.155454
Algoritm: OpenCV Bilinear | Time: 2 ms | PSNR: 33.965166 | SSIM: 0.976619 | RMSE: 5.108364
Algoritm: OpenCV Bicubic | Time: 0 ms | PSNR: 36.455404 | SSIM: 0.985796 | RMSE: 3.835041
Algoritm: OpenCV Lanczos | Time: 4 ms | PSNR: 36.667843 | SSIM: 0.986419 | RMSE: 3.742381

=== Testing on: shell | Scale: 2 x 2 ===
Algoritm: Nearest | Time: 2 ms | PSNR: inf | SSIM: 1.000000 | RMSE: 0.000000
Algoritm: Bilinear | Time: 11 ms | PSNR: 27.423871 | SSIM: 0.949853 | RMSE: 10.847924
Algoritm: Bicubic (a=-0.5) | Time: 86 ms | PSNR: 27.485836 | SSIM: 0.952599 | RMSE: 10.770810
Algoritm: Bicubic (a=-0.7) | Time: 87 ms | PSNR: 27.392233 | SSIM: 0.952638 | RMSE: 10.887509
